Incident Number,Date,Time Out,Time In,Location,Call Type,Response Area,Company Run #,Box or Street Assignment,Working Fire,Unit 1,Unit 1 Off ID,Unit 1 Dr ID,Unit 1 FF1 ID,Unit 1 FF2 ID,Unit 1 FF3 ID,Unit 1 FF4 ID,Unit 1 FF5 ID,Unit 1 FF6 ID,Unit 1 FF7 ID,Unit 1 Disposition,Unit 2,Unit 2 Off ID,Unit 2 Dr ID,Unit 2 FF1 ID,Unit 2 FF2 ID,Unit 2 FF3 ID,Unit 2 FF4 ID,Unit 2 FF5 ID,Unit 2 FF6 ID,Unit 2 FF7 ID,Unit 2 Disposition,Unit 3,Unit 3 Off ID,Unit 3 Dr ID,Unit 3 FF1 ID,Unit 3 FF2 ID,Unit 3 FF3 ID,Unit 3 FF4 ID,Unit 3 FF5 ID,Unit 3 FF6 ID,Unit 3 FF7 ID,Unit 3 Disposition,Unit 4,Unit 4 Off ID,Unit 4 Dr ID,Unit 4 FF1 ID,Unit 4 FF2 ID,Unit 4 FF3 ID,Unit 4 FF4 ID,Unit 4 FF5 ID,Unit 4 FF6 ID,Unit 4 FF7 ID,Unit 4 Disposition,Unit 5,Unit 5 Off ID,Unit 5 Dr ID,Unit 5 FF1 ID,Unit 5 FF2 ID,Unit 5 FF3 ID,Unit 5 FF4 ID,Unit 5 FF5 ID,Unit 5 FF6 ID,Unit 5 FF7 ID,Unit 5 Disposition,Remarks,Report by,Type of Incident,Box Area
,01-Mar-13,,,,,,,FALSE,FALSE,,20305,20326,23911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17937,,,,,,,,,,,,,
,02-Mar-13,,,,,,,FALSE,FALSE,E121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,02-Mar-13,,,,,,,FALSE,FALSE,,18452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,28-Mar-13,,,,,,,FALSE,FALSE,,862,16221,4820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-Apr-13,,,,,,,FALSE,FALSE,HMSU12,,,,,,,,,,,E122,,,,,,,,,,,TK12,,,,,,,,,,,C12B,,,,,,,,,,,,,,,,,,,,,,,,,
,28-Aug-13,,,,,,,FALSE,FALSE,,,,,,,,,,,,Stat,20565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,31-Aug-13,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14-Sep-13,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23-Oct-13,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,03-Nov-13,,,,,,,FALSE,FALSE,,,,,,,,,,,,C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17-Nov-13,00-Jan-00,00-Jan-00,360 Terrapin Trl.,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25-Nov-13,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
